atom_name,key,0
-10,1259059.3111141957,1
-10,1259059.5482507152,1
-10,1259060.2050156957,1
-10,1259061.004083041,1
-10,1259061.54306206,1
-10,1259062.017496157,1
-10,1259062.3055569937,1
-10,1259063.1968613022,1
-10,1259063.266112511,1
-10,1259063.4640012057,1
-10,1259063.6406716981,1
-10,1259063.9194204966,3
-10,1259064.1807098535,1
-10,1259278.0431873566,1
-10,1259279.54306206,1
-10,1259279.9348959553,1
-10,1259280.017496157,1
-10,1259280.7533651611,1
-10,1283041.558288385,1
-10,1283045.5098123364,1
-10,1294920.719117939,1
-10,1294920.9348959553,1
-10,1294921.1557248964,1
-10,1294921.6411383061,1
-10,1294922.1807098535,1
-10,1294922.4144921605,1
-10,1294922.4640012057,1
-10,1294923.5098123364,1
-10,2518120.0794813368,1
-10,2518120.1811804045,1
-10,2518120.5013942705,1
-10,2518121.9425934637,1
-10,2518122.037388436,1
-10,2518122.4051205204,1
-10,2518124.5286094565,1
-10,2518124.8697919105,1
-10,2518125.034992314,1
-10,2518126.5067303223,1
-10,2518127.9280024115,2
-10,2518128.2229240336,4
-10,2518128.2813433963,2
-10,2518129.361419707,2
-10,2518781.723900188,1
-10,2589838.037388436,1
-10,2589844.2229240336,1
-10,2589845.828984321,1
-10,3777180.8189886436,1
-10,3777181.136240838,1
-10,3777182.9679658897,1
-10,3777184.0867264383,1
-10,3777185.4021077645,1
-10,3777187.804687866,1
-10,3777187.9373211456,1
-10,3777188.9336747173,2
-10,3777191.4711503163,1
-10,3777191.590583907,1
-10,3778166.741877648,1
-10,3849126.818875678,1
-10,3849131.4671746893,1
-10,3849132.6269405154,1
-10,3884757.413890195,1
-10,3884760.5319841118,1
-10,3884767.2600954836,1
-10,3884768.5421295604,1
-10,3884770.758261489,1
-10,3884772.5294370092,1
-10,5036236.363845197,1
-10,5036241.386025442,1
-10,5036245.782301918,1
-10,5036250.652823919,1
-10,5036252.222227975,1
-10,5036252.244899623,1
-10,5036252.290621187,1
-10,5036252.324163946,1
-10,5036254.0134606445,2
-10,5036257.782301918,1
-10,5037117.810241041,1
-10,5037128.856004823,1
-10,5037129.562686793,1
-10,5037554.321629156,1
-10,5037564.447800376,1
-10,5179676.995256911,1
-10,5179677.386025442,1
-10,5179682.420609672,1
-10,5179684.244899623,1
-10,5179684.324163946,1
-10,5179689.169254021,2
-10,5179689.5645532245,1
-10,5179690.0134606445,1
-10,5179694.677681986,1
-10,5179697.039249346,2
-10,6295301.952951011,1
-10,6295304.785250527,1
-10,6295305.6132764835,2
-10,6295306.235130425,1
-10,6295307.317806228,1
-10,6295307.477877397,1
-10,6295313.275762089,1
-10,6295313.566029899,1
-10,6295313.895535243,1
-10,6295314.785250527,1
-10,6295315.527784968,1
-10,6295315.555570979,1
-10,6295315.655204932,1
-10,6295317.821523641,1
-10,6295322.203358491,1
-10,6296401.7153103,1
-10,6296405.527784968,1
-10,6296413.597102483,2
-10,6296950.655204932,1
-10,6415222.20569153,1
-10,6415765.80975047,1
-10,6415776.549061682,1
-10,6474601.791441925,1
-10,6474609.7786244815,1
-10,6474617.203358491,1
-10,7554362.2895042915,1
-10,7554363.5858283695,1
-10,7554367.992885366,1
-10,7554369.633683521,1
-10,7554371.043773465,1
-10,7554374.25837236,1
-10,7554375.633683521,1
-10,7554377.104976942,1
-10,7554380.637977287,1
-10,7554381.520190967,1
-10,7554384.596675065,1
-10,7554386.844030189,2
-10,7556338.874642291,1
-10,7556339.587886426,1
-10,7556346.181167814,1
-10,7769521.68215651,1
-10,7769522.349730309,1
-10,7769522.637751356,1
-10,7769524.1309145065,1
-10,7769532.596675065,1
-10,7769546.0588740185,1
-10,8813422.837755008,1
-10,8813423.244306836,1
-10,8813429.129182594,1
-10,8813431.659968568,1
-10,8813431.775271764,1
-10,8813433.93825145,1
-10,8813438.986066924,1
-10,8813439.544271687,1
-10,8813440.148458943,1
-10,8813442.317286905,1
-10,8813445.273556128,1
-10,8813450.248008441,2
-10,8813451.280234117,1
-10,8813455.264968975,1
-10,8814952.302311495,2
-10,8815723.731047846,1
-10,8815738.533650659,2
-10,8815740.280234117,1
-10,8815744.264968975,1
-10,9064453.1224731,1
-10,10072468.740872348,1
-10,10072477.468535507,2
-10,10072479.05836462,2
-10,10072492.308489965,1
-10,10072499.34449648,2
-10,10072503.139969256,1
-10,10072505.44445595,1
-10,10072508.752943512,1
-10,10072512.574890418,1
-10,10072518.355363972,1
-10,10072520.445678828,2
-10,10264371.078498691,1
-10,10359362.576208679,1
-10,10359363.850335142,1
-10,10359386.712009646,1
-10,10359395.078498691,1
-10,11331533.582446618,1
-10,11331533.712697253,1
-10,11331545.408722514,1
-10,11331549.84514126,1
